hotel_ID,hotel_name,address,city,Capacity,Rating,Description,photourl
15,Hotel Cherthala House,"""Court JunctionEast of P.M.C. - 5, cherthala - 688 524, KERALA""",KERALA,5,2.2,Sample description for Hotel Cherthala House,https://example.com/photo15
16,Heritaga Methanam,"""K P XI / 298Near Perumpadappu, Kumbalanghi Bridge, Kumbalanghi P.O., Kochi - 682 007, KERALA""",KERALA,7,1.5,Sample description for Heritaga Methanam,https://example.com/photo16
17,Old Lighthouse Bristow Hotel ,"""Beach Road Next to SBI Training Center Fort Kochi , Cochin , KERALA""",KERALA,11,2.9,Sample description for Old Lighthouse Bristow Hotel ,https://example.com/photo17
18,Hotel Le Colonial ,"""1/215, Church Road, Vasco-da-Gama Square, Fort Cochin , KERALA""",KERALA,8,4.0,Sample description for Hotel Le Colonial ,https://example.com/photo18
19,Kunnathur Mana Ayurveda Heritage,"""Door No.VIII/666 Punnayurkulam P.O. Thrissur Dist, Kerala, KERALA""",KERALA,7,3.3,Sample description for Kunnathur Mana Ayurveda Heritage,https://example.com/photo19
20,Old Harbour Hotel,"""No-1/328, Tower Road, Fort Kochi , Kochi , KERALA""",KERALA,13,4.1,Sample description for Old Harbour Hotel,https://example.com/photo20
21,Coconut Lagoon,"""P.O. Box No. 2Kumarakom, Kottayam - 686563, KERALA""",KERALA,36,3.0,Sample description for Coconut Lagoon,https://example.com/photo21
22,Beach Hotel,"""(Beach Heritage Inn (P) Ltd.)Beach Road, Kozhikode - 673032, KERALA""",KERALA,6,3.6,Sample description for Beach Hotel,https://example.com/photo22
23,Palakkad Heritage Hotels,"""Koduvayur P.O.Palakkad, Dist., KERALA """,KERALA,5,3.7,Sample description for Palakkad Heritage Hotels,https://example.com/photo23
24,Somatheeram Ayurvedic Beach Resort (P) Ltd.,"""P.O. ChowaraVia Balaramapuram, Thiruvananthapuram - 695501, KERALA""",KERALA,42,3.0,Sample description for Somatheeram Ayurvedic Beach Resort (P) Ltd.,https://example.com/photo24
25,The Hillway Heritage,"""Opp. Police Station, State Highway - 1Kilimanoor P.O., Thiruvananthapuram - 695601, KERALA""",KERALA,6,4.6,Sample description for The Hillway Heritage,https://example.com/photo25
26,Ahilya Fort ,"""Ahilya Fort, Maheshwar, W Nimar , Bhopal , MADHYA PRADESH""",MADHYA PRADESH,15,4.3,Sample description for Ahilya Fort ,https://example.com/photo26
27,Hotel Rock End Manor ,"""Pachmarhi Distt. ,HOSHANGABAD , MADHYA PRADESH""",MADHYA PRADESH,6,1.7,Sample description for Hotel Rock End Manor ,https://example.com/photo27
28,Satpura Retreat,"""Pachmarhi, Dist. Hosangabad, MADHYA PRADESH""",MADHYA PRADESH,6,2.5,Sample description for Satpura Retreat,https://example.com/photo28
29,Hotel Sheesh Mahal ,"""MPSTDC, Orchha, Tikamgarh Dist. , MADHYA PRADESH""",MADHYA PRADESH,8,2.4,Sample description for Hotel Sheesh Mahal ,https://example.com/photo29
30,Jehan Numa Palace Hotel ,"""157, SHAMLA HILL(M.P) , Bhopal , MADHYA PRADESH""",MADHYA PRADESH,98,1.3,Sample description for Jehan Numa Palace Hotel ,https://example.com/photo30
31,LE DUPLEIX ,"""(unit of auberge Heritage Hotels) 5, CASERNE STREET , Pondicherry, PONDICHERRY""",PONDICHERRY,21,2.4,Sample description for LE DUPLEIX ,https://example.com/photo31
32,Calve,"""A Heritage HotelOld No. 36, New No. 44, Vysial Street, Puducherry - 605 001, PUDUCHERRY""",,11,1.6,Sample description for Calve,https://example.com/photo32
33,"Welcome Heritage, Khimsar Fort","""Khimsar, RAJASTHAN """,RAJASTHAN ,67,4.8,"Sample description for Welcome Heritage, Khimsar Fort",https://example.com/photo33
34,The Bagh ,"""Agra Achnara Road Pucca Bagh Bharatpur, Bharatpur, RAJASTHAN """,RAJASTHAN ,29,2.1,Sample description for The Bagh ,https://example.com/photo34
35,Gajner Palace,"""P.O. GajnerTehsil : Kolayat, Bikaner - 334001, RAJASTHAN""",RAJASTHAN,45,3.6,Sample description for Gajner Palace,https://example.com/photo35
36,The Laxmi Niwas Palace ,"""(A Unit of Golden Triangle Fort and Palace Pvt. Ltd.) Dr. Karni Singhji Road ,Bikaner ,RAJASTHAN""",RAJASTHAN,24,2.7,Sample description for The Laxmi Niwas Palace ,https://example.com/photo36
37,Chomu Palace,"""Near Main ChomuBus Stand, Chomu - 303702, RAJASTHAN""",RAJASTHAN ,58,1.5,Sample description for Chomu Palace,https://example.com/photo37
38,Bissau Palace ,"""Outside Chandpole Gate , Jaipur, RAJASTHAN""",RAJASTHAN ,50,1.8,Sample description for Bissau Palace ,https://example.com/photo38
39,Deogarh Resorts,"""Deogarh MahalP.O. Deogarh Madariya, Distt. Rajsamand - 313331, RAJASTHAN""",RAJASTHAN ,45,3.8,Sample description for Deogarh Resorts,https://example.com/photo39
40,Shikarbadi Hotel,"""Goverdhan Vilas, Udaipur - 313001, RAJASTHAN""",RAJASTHAN ,25,1.6,Sample description for Shikarbadi Hotel,https://example.com/photo40
41,Welcom Heritage - Koolwal Kothi,"""House No. 40,Near Government Hospital RoadNawal Garh District, Jhunjhunu, RAJASTHAN""",RAJASTHAN ,10,3.8,Sample description for Welcom Heritage - Koolwal Kothi,https://example.com/photo41
42,Ajit Bhawan,"""Near Circuit House, Jodhpur - 342 006, RAJASTHAN""",RAJASTHAN ,70,4.3,Sample description for Ajit Bhawan,https://example.com/photo42
43,Hotel Samode Palace,"""Village Samode, Dist. Jaipur - 303806, RAJASTHAN""",RAJASTHAN,43,3.4,Sample description for Hotel Samode Palace,https://example.com/photo43
44,Raj Niwas Palace,"""National Highway-3, Dholpur - 328 001, RAJASTHAN""",RAJASTHAN,20,2.7,Sample description for Raj Niwas Palace,https://example.com/photo44
45,Hotel Castle Mandawa Pvt.Ltd.,"""MandawaJhunjhunu District, Shekhawati - 333704, RAJASTHAN""",RAJASTHAN,70,2.9,Sample description for Hotel Castle Mandawa Pvt.Ltd.,https://example.com/photo45
46,Rohet Garh,"""Village P.O RohetDistt. Pali, Rajasthan, RAJASTHAN""",RAJASTHAN,34,2.5,Sample description for Rohet Garh,https://example.com/photo46
47,Lake Pichola Hotel,"""Piplia Haveli, Out Side ChandpoleUdaipur, Rajasthan, Udaipur, RAJASTHAN""",RAJASTHAN,32,1.2,Sample description for Lake Pichola Hotel,https://example.com/photo47
48,The Ramgarh Lodge,"""Ramgarh LakeJamwa Ramgarh, Jaipur - 303109, RAJASTHAN""",RAJASTHAN,14,1.2,Sample description for The Ramgarh Lodge,https://example.com/photo48
49,Hotel Indra Villas ,"""A unit of Desert Heritage Resorts Pvt. Ltd. Ward No.2, Village Alsisar , JHUNJHUNU , RAJASTHAN""",RAJASTHAN,43,2.7,Sample description for Hotel Indra Villas ,https://example.com/photo49
50,Singhasan Haveli,"""Goenka Chowk, Mandawa,Dist., JHUNJHUNU, RAJASTHAN""",RAJASTHAN,26,4.7,Sample description for Singhasan Haveli,https://example.com/photo50
51,Fort Khejarla,"""(Aunit of Bhandari Heritage Pvt. Ltd.)Village Khejarla, Via Bilara, Distt. Jodhpur - 342601, RAJASTHAN""",RAJASTHAN,38,1.5,Sample description for Fort Khejarla,https://example.com/photo51
52,Sardargarh Heritage Hotel ,"""Sardargarh Fort, Village-Lawa Sardargarh Sardargarh, Dist:-Rajsamand , Rajsamand , RAJASTHAN""",RAJASTHAN,24,5.0,Sample description for Sardargarh Heritage Hotel ,https://example.com/photo52
53,The Sawai Madhopur Lodge,"""Ranthambore National Park Road, Sawai Madhopur - 302 005, RAJASTHAN""",RAJASTHAN,36,2.8,Sample description for The Sawai Madhopur Lodge,https://example.com/photo53
54,Karni Bhawan Palace ,"""Gandhi Colony Bikaner ,Bikaner ,RAJASTHAN""",RAJASTHAN,12,3.7,Sample description for Karni Bhawan Palace ,https://example.com/photo54
55,Norkhill Hotel ,"""Stadium Road, Gangtok , SIKKIM""",SIKKIM,25,3.0,Sample description for Norkhill Hotel ,https://example.com/photo55
56,Visalam,"""7/1/143 LOCAL FUND ROAD, KANADUKATHAN KARAIKUDI, TAMIL NADU, KARAIKUDI, TAMIL NADU""",TAMIL NADU,15,4.1,Sample description for Visalam,https://example.com/photo56
57,Hotel Fairhavens Holiday Home,"""Adacent to Head Post Office Mallital, Nainital, UTTARAKHAND""",UTTARAKHAND,30,1.2,Sample description for Hotel Fairhavens Holiday Home,https://example.com/photo57
58,The Naini Retreat,"""Ayarapatta Sloppes, Nainital - 263001, UTTARAKHAND""",UTTARAKHAND,32,1.1,Sample description for The Naini Retreat,https://example.com/photo58
59,The Elgin Hotel,"""18, H.D. Lama Road, P.O. Darjeeling, WEST BENGAL""",WEST BENGAL,20,3.3,Sample description for The Elgin Hotel,https://example.com/photo59
60,Taj Falaknuma Palace ,"""Engine Bowli, Falaknuma , Hyderabad, ANDHRA PRADESH""",ANDHRA PRADESH,60,1.5,Sample description for Taj Falaknuma Palace ,https://example.com/photo60
61,ITC HOTEL KAKATIYA,"""6-3-1187,BEGUMPETnull, Hyderabad, ANDHRA PRADESH""",ANDHRA PRADESH,188,3.8,Sample description for ITC HOTEL KAKATIYA,https://example.com/photo61
62,Eros Hotel Managed by Hilton,"""S-1American Plaza, International Trade Tower, Nehru Place, New Delhi - 110 019, DELHI""",DELHI,216,3.7,Sample description for Eros Hotel Managed by Hilton,https://example.com/photo62
63,The Ashok,"""50-BChanakyapuri, New Delhi - 110021, DELHI""",DELHI,550,1.9,Sample description for The Ashok,https://example.com/photo63
64,Hotel Imperial,"""Janpath, New Delhi - 110001, DELHI""",DELHI,233,1.1,Sample description for Hotel Imperial,https://example.com/photo64
65,Hyatt Regency Delhi,"""Bhikaji Cama Place, New Delhi - 110066, DELHI""",DELHI,508,3.9,Sample description for Hyatt Regency Delhi,https://example.com/photo65
66,ITC-The Maurya,"""ITC LimitedDiplomatic Enclave, New Delhi - 110021, DELHI""",DELHI,440,2.8,Sample description for ITC-The Maurya,https://example.com/photo66
67,Le Meridien Hotel,"""8, Windsor Place Janpath, New Delhinull, New Delhi, DELHI""",DELHI,358,4.4,Sample description for Le Meridien Hotel,https://example.com/photo67
68,Taj Palace Hotel ,"""Sardar Patel Marg , New Delhi ,DELHI""",DELHI,409,3.6,Sample description for Taj Palace Hotel ,https://example.com/photo68
69,The Lalit,"""Barakhamba AvenueConnaught Place,New Delhi - 110001, DELHI""",DELHI,457,4.7,Sample description for The Lalit,https://example.com/photo69
70,The Oberoi -  New Delhi,"""Dr. Zakir Hussain Marg, New Delhi - 110003,DELHI""",DELHI,283,2.8,Sample description for The Oberoi -  New Delhi,https://example.com/photo70
71,"Aman, New Delhi","""Lodhi Road, New Delhi - 110003, DELHI""",DELHI,68,4.6,"Sample description for Aman, New Delhi",https://example.com/photo71
72,The Hotel Leela Palace Kempinski,"""Diplomatic Enclave, New Delhi - 110023,DELHI, National Highway No. 8, New Delhi-110037, DELHI""",DELHI,260,3.3,Sample description for The Hotel Leela Palace Kempinski,https://example.com/photo72
73,Riviera De Goa Resort,"""Shimer VaddoXimer, Arpora - 403 518, GOA""",GOA,104,1.3,Sample description for Riviera De Goa Resort,https://example.com/photo73
74,Vivanta by Taj - Panaji,"""Off. D.B. Bandodkar RoadSt. Inez, Panaji - 403001, GOA""",GOA,172,1.5,Sample description for Vivanta by Taj - Panaji,https://example.com/photo74
75,Vivanta by Taj - Holiday,"""(Earlier known as The Taj Holiday Village)Dando, Candolim, Bardez - 403 515, GOA""",GOA,142,4.9,Sample description for Vivanta by Taj - Holiday,https://example.com/photo75
76,Bell Tower Resorts Pvt.Ltd. ,"""Bell Tower Resorts Pvt.Ltd. (Retreat by Zuri) Pedda, Uttor Doxi, Varca Salcatte-Goa-403721 , Salcete , GOA""",GOA,106,2.0,Sample description for Bell Tower Resorts Pvt.Ltd. ,https://example.com/photo76
77,Hotel Ramada Caravela Beach Resort,"""Varca Beach, Salcete - 403721, GOA""",GOA,200,2.2,Sample description for Hotel Ramada Caravela Beach Resort,https://example.com/photo77
78,Vivanta By Taj- Fort Aguada,"""Sinquerim, Bardez - 403519, GOA """,GOA,145,3.5,Sample description for Vivanta By Taj- Fort Aguada,https://example.com/photo78
79,Th Lalit Golf & Spa Resort Goa,"""(Bharat Hotels Ltd.)Raj Baga,Canacona, GOA""",GOA,225,2.3,Sample description for Th Lalit Golf & Spa Resort Goa,https://example.com/photo79
80,Resort Rio,"""Resort Rio, Tambudki,Arpora, Bardez, GOA""",GOA,82,2.5,Sample description for Resort Rio,https://example.com/photo80
81,Hotel Cidade de Goa,"""(Unit of Fomento Resorts & Hotels Ltd.), Vainguinim Beach - 403004, GOA""",GOA,205,3.7,Sample description for Hotel Cidade de Goa,https://example.com/photo81
82,Majorda Beach Resort,"""MajordaSalcette, Goa - 403713, GOA""",GOA,120,2.7,Sample description for Majorda Beach Resort,https://example.com/photo82
83,"The Leela Kempinski, Goa","""MoborCavelossim, Salcette - 403731, GOA""",GOA,186,5.0,"Sample description for The Leela Kempinski, Goa",https://example.com/photo83
84,Hotel Trident - Gurgaon,"""Plot No. 443, Udyog ViharPhase - V, Gurgaon - 122016, HARYANA""",HARYANA,136,4.0,Sample description for Hotel Trident - Gurgaon,https://example.com/photo84
85,The Leela Kempinski -  Gurgaon,"""(Ambience Hotels & Resorts Ltd.) Village Nathupur, N.H.-8 Gurgaon, Gurgaon, HARYANA""",HARYANA,412,4.5,Sample description for The Leela Kempinski -  Gurgaon,https://example.com/photo85
86,The Bristol Hotel,"""Adjacent to DLFQutab Enclave Phase - 1, Gurgaon - 122002, HARYANA""",HARYANA,84,3.6,Sample description for The Bristol Hotel,https://example.com/photo86
87,Wildflower Hall,"""(Mashobara Resort Limited, A Unit of EIH Limited)Chharabra, Shimla - 171 012, HIMACHAL PRADESH""",HIMACHAL PRADESH,85,1.6,Sample description for Wildflower Hall,https://example.com/photo87
88,Vivanta by Taj -  Whitefield,"""ITBP Whitefield, Bangalore - 560066, KARNATAKA""",KARNATAKA,199,3.9,Sample description for Vivanta by Taj -  Whitefield,https://example.com/photo88
89,Hotel Golden Palms Hotel & Spa,"""NO-31 & 32 GOLDEN PALMS AVENUE OFF TUMKUR ROAD BANGALORE,  KARNATAKA""",KARNATAKA,170,4.3,Sample description for Hotel Golden Palms Hotel & Spa,https://example.com/photo89
90,ITC Hotel Windsor & Towers ,"""WINDSOR SQUARE, 25 GOLF COURES ROAD, Bangalore , KARNATAKA""",KARNATAKA,240,1.0,Sample description for ITC Hotel Windsor & Towers ,https://example.com/photo90
91,The Taj West End,"""Race Course Road Bangalore, KARNATAKA""",KARNATAKA,117,4.6,Sample description for The Taj West End,https://example.com/photo91
92,Sheraton Banglore at Brigade Gateway,"""26/1, Rajajinagar ExtensionDr. Rajkumar Road, Malleswaram West, Bangalore, KARNATAKA""",KARNATAKA,230,1.0,Sample description for Sheraton Banglore at Brigade Gateway,https://example.com/photo92
93,The Oberoi Bangalore,"""39 Mahatma Gandhi RoadBanglore-560001, Bangalore, KARNATAKA""",KARNATAKA,160,1.9,Sample description for The Oberoi Bangalore,https://example.com/photo93
94,Vivanta by Taj -  Bangalore,"""41/3M.G. Road, Bangalore - 560001, KARNATAKA""",KARNATAKA,167,1.9,Sample description for Vivanta by Taj -  Bangalore,https://example.com/photo94
95,Park Plaza,"""NO. 5 Defence Colony,1st main, Indirangar, KARNATAKA""",KARNATAKA,218,2.4,Sample description for Park Plaza,https://example.com/photo95
96,Dream Hotel Cochin,"""37/985, C&D, Sahodaran Ayyappan Road Elamkulam Jnction, Kadavanthara cochin-682020, Cochin, KERALA""",KERALA,150,4.9,Sample description for Dream Hotel Cochin,https://example.com/photo96
97,Vivanta by Taj - Bekal ,"""A Unit of Khanna Hotels PVt. LTd. BRDC Site No. 5, Kappil Beach P.O. Udma West Kasaragod - 671319, Kasaragod , KERALA""",KERALA,73,1.9,Sample description for Vivanta by Taj - Bekal ,https://example.com/photo97
98,The Lalit Resorts & Spa Bekal,"""Bevoori, Udma, Taluka: Hosedurgh Distt: Kasargod Kerala, Kasaragod , KERALA""",KERALA,39,1.1,Sample description for The Lalit Resorts & Spa Bekal,https://example.com/photo98
99,Vivanta By Taj - Kovalam,"""(Formerly known as Taj Green Cove Kovalam)G V Raja Vattappara Road, Kovalam, Thiruvananthapuram - 695 527, KERALA""",KERALA,59,4.6,Sample description for Vivanta By Taj - Kovalam,https://example.com/photo99
100,Vivanta by - Taj Malabar ,"""Willingdon Island , Cochin , KERALA""",KERALA,96,3.0,Sample description for Vivanta by - Taj Malabar ,https://example.com/photo100
101,The Raviz Kollam,"""Kollam Royal Park Hotel And Resorts P LtdMathilil, Kollam, KERALA""",KERALA,93,2.7,Sample description for The Raviz Kollam,https://example.com/photo101
102,Kovalam Resort Private Limited,"""The Leela Kovalam,Kerala, Thiruvananthapuram, KERALA""",KERALA,127,2.5,Sample description for Kovalam Resort Private Limited,https://example.com/photo102
103,The Grand Temple View ,"""Opp. Circuit House , Khajuraho , MADHYA PRADESH""",MADHYA PRADESH,47,2.8,Sample description for The Grand Temple View ,https://example.com/photo103
104,Hotel Chandela,"""Airport RoadDist. Chhatarpur, Khajuraho - 471606, MADHYA PRADESH""",MADHYA PRADESH,90,1.4,Sample description for Hotel Chandela,https://example.com/photo104
105,Chalet Hotel,"""Plot no.39/1 6 to 15 Sector 30 AVashi Navi Mumbai, Mumbai, MAHARASHTRA""",MAHARASHTRA,118,4.9,Sample description for Chalet Hotel,https://example.com/photo105
106,Four Seasons Hotel,"""(Unit of Mogus Estates & Hotels Ltd.) Plot NO.114,Dr.E.Moses Road Worli, Mumbai, MAHARASHTRA""",MAHARASHTRA,202,2.8,Sample description for Four Seasons Hotel,https://example.com/photo106
107,HOTEL SAHARA STAR ,"""DOMESTIC AIRPORT, VILE PARLE (E), MUMBAI , MAHARASHTRA""",MAHARASHTRA,210,1.6,Sample description for HOTEL SAHARA STAR ,https://example.com/photo107
108,Hyatt Regency Mumbai,"""Sahar Airport RoadAndheri (East), Mumbai - 400 099, MAHARASHTRA""",MAHARASHTRA,401,2.5,Sample description for Hyatt Regency Mumbai,https://example.com/photo108
109,Le Royal Meridien ,"""SAHAR AIRPORT ROAD ANDHERI (E) , Mumbai , MAHARASHTRA""",MAHARASHTRA,171,1.3,Sample description for Le Royal Meridien ,https://example.com/photo109
110,Sun-n-Sand Hotels Pvt. Ltd.,"""39Juhu Beach, Mumbai - 400 049, MAHARASHTRA""",MAHARASHTRA,120,4.5,Sample description for Sun-n-Sand Hotels Pvt. Ltd.,https://example.com/photo110
111,The Taj Mahal Palace & Tower ,"""Apollo Bunder , Mumbai , MAHARASHTRA""",MAHARASHTRA,565,1.4,Sample description for The Taj Mahal Palace & Tower ,https://example.com/photo111
112,Hotel Le Meridien,"""R.B.M. Road, Pune - 411001, MAHARASHTRA""",MAHARASHTRA,117,4.5,Sample description for Hotel Le Meridien,https://example.com/photo112
113,Hotel ITC Grand Central,"""287, Babasaheb Ambedkar RoadParel,Mumbai-400012, MAHARASHTRA""",MAHARASHTRA,242,2.6,Sample description for Hotel ITC Grand Central,https://example.com/photo113
114,The Leela Kempinski,"""Sahar, Mumbai - 400 059, MAHARASHTRA""",MAHARASHTRA,393,2.8,Sample description for The Leela Kempinski,https://example.com/photo114
115,"The Oberoi, Mumbai","""Nariman Point, Mumbai - 400021, MAHARASHTRA""",MAHARASHTRA,287,4.5,"Sample description for The Oberoi, Mumbai",https://example.com/photo115
116,The Westin Mumbai Garden City ,"""Oberoi Garden City, International Business Park, Off Western Express Highway, Goregaon (East) , Mumbai , MAHARASHTRA""",MAHARASHTRA,269,3.0,Sample description for The Westin Mumbai Garden City ,https://example.com/photo116
117,"Fariyas Resort, Lonavla","""Frichley HillsTungarli, Lonavla - 410401, MAHARASHTRA""",MAHARASHTRA,105,3.1,"Sample description for Fariyas Resort, Lonavla",https://example.com/photo117
118,"Trident, Nariman Point","""Nariman Point, Mumbai - 400 021, MAHARASHTRA""",MAHARASHTRA,550,1.1,"Sample description for Trident, Nariman Point",https://example.com/photo118
119,Taj Lands End,"""B.J. RoadBand Stand, Bandra (West), Mumbai - 400050, MAHARASHTRA""",MAHARASHTRA,493,1.5,Sample description for Taj Lands End,https://example.com/photo119
120,Trident -  Bhubaneswar ,"""CB - 1 Nayapalli, Bhubaneshwar , ORISSA""",ORISSA,62,4.0,Sample description for Trident -  Bhubaneswar ,https://example.com/photo120
121,Hotel Mayfair Lagoon,"""8-BJaydev Vihar, Bhubaneswar, ORISSA""",ORISSA,102,4.6,Sample description for Hotel Mayfair Lagoon,https://example.com/photo121
122,ISTA Amritsar,"""G.T. Road(Adjoining Alpha One City Centre), Amritsar - 143 001, PUNJAB""",PUNJAB,248,4.1,Sample description for ISTA Amritsar,https://example.com/photo122
123,Sheraton Rajputana Hotel,"""Palace Road, Jaipur-302006, RAJASTHAN""",RAJASTHAN,218,3.9,Sample description for Sheraton Rajputana Hotel,https://example.com/photo123
124,The Oberoi Rajvilas,"""Goner Road, Jaipur - 303012, RAJASTHAN""",RAJASTHAN,71,2.6,Sample description for The Oberoi Rajvilas,https://example.com/photo124
125,The Oberoi Udaivilas ,"""Haridas Ji Ki Magri , Udaipur , RAJASTHAN""",RAJASTHAN,87,1.7,Sample description for The Oberoi Udaivilas ,https://example.com/photo125
126,Country Inn & Suites By Carlson,"""Country Inn & Suites By Carlson (A unit of Shivani Enclaves Pvt.,Khasa Kothi Circle M.I.Road, Jaipur, RAJASTHAN""",RAJASTHAN,100,4.2,Sample description for Country Inn & Suites By Carlson,https://example.com/photo126
127,The Leela Palace Kempinski,"""P.O. Box No. 125Lake Pichola, Udaipur - 313 001, RAJASTHAN""",RAJASTHAN,80,4.0,Sample description for The Leela Palace Kempinski,https://example.com/photo127
128,JAI MAHAL PALACE HOTEL,"""JACOB ROAD,CIVIL LINES, Jaipur, RAJASTHAN""",RAJASTHAN,100,3.3,Sample description for JAI MAHAL PALACE HOTEL,https://example.com/photo128
129,Mayfair Spa & Resort,"""(Unit of Mayfair Hotels & Resorts (Sikkim) Pvt. Ltd.)Lower Samdur Block, Ranipool - 737135, Gangtok, SIKKIM""",SIKKIM,63,1.7,Sample description for Mayfair Spa & Resort,https://example.com/photo129
130,Taj Mount Road,"""No. 2Club House Road, Chennai - 600 002, TAMIL NADU""",TAMIL NADU,220,4.6,Sample description for Taj Mount Road,https://example.com/photo130
131,THE PARK ,"""UNIT :APEEJAY -SURRENDRA PARK HOTELS LTD 601, ANNA SALAI , Chennai, TAMIL NADU """,TAMIL NADU,214,2.0,Sample description for THE PARK ,https://example.com/photo131
132,Vivanta by Taj - Fishermans Cove,"""Covelong Beach, Kanchipuram Dist. - 603112, TAMIL NADU""",TAMIL NADU,88,4.8,Sample description for Vivanta by Taj - Fishermans Cove,https://example.com/photo132
133,Taj Coromandel,"""37Mahatma Gandhi Salai, Nungambakkam, Chennai - 600 034, TAMIL NADU""",TAMIL NADU,205,3.4,Sample description for Taj Coromandel,https://example.com/photo133
134,Le Royal Meridien Chennai,"""(Owned by Appu Hotels Limited)No. 1, G.S.T. Road, St. Thomas Mount, Chennai - 600 016, TAMIL NADU""",TAMIL NADU,240,3.9,Sample description for Le Royal Meridien Chennai,https://example.com/photo134
135,ITC The Mughal,"""Fatehabad RoadTajganj, Agra - 282 001, UTTAR PRADESH""",UTTAR PRADESH,233,1.1,Sample description for ITC The Mughal,https://example.com/photo135
136,Jaypee Greens Golf & Spa Resort,"""A division of Jaiprakash Associates Ltd. G-Block, Surajpur Kasna Road Gautam Budh Nagar, Greater Noida, UTTAR PRADESH""",UTTAR PRADESH,170,2.6,Sample description for Jaypee Greens Golf & Spa Resort,https://example.com/photo136
137,Vivanta by Taj ,"""Vipin Khand Gomti Nagar , Lucknow , UTTAR PRADESH""",UTTAR PRADESH,110,1.5,Sample description for Vivanta by Taj ,https://example.com/photo137
138,Taj Ganges Varanasi,"""Nadesar Palace GraoundsNadesar, Varanasi - 221002, UTTAR PRADESH""",UTTAR PRADESH,130,2.0,Sample description for Taj Ganges Varanasi,https://example.com/photo138
139,Radisson Hotel,"""Taj East Gate Road, Agra - 282 001, UTTAR PRADESH""",UTTAR PRADESH,140,4.5,Sample description for Radisson Hotel,https://example.com/photo139
140,Radisson MBD Hotel,"""Plot No. L-2Sector - 18, Noida - 201 301, UTTAR PRADESH""",UTTAR PRADESH,126,1.2,Sample description for Radisson MBD Hotel,https://example.com/photo140
141,Holiday Regency,"""Holiday Regency (A Unit of Omsons Holiday Inn Pvt. ltd)Om Enclave, (KM, Delhi Road , NH-24, Moradabad, UTTAR PRADESH""",UTTAR PRADESH,74,2.9,Sample description for Holiday Regency,https://example.com/photo141
142,Jaypee Residency Manor,"""Barlowganj, Mussoorie, UTTARAKHAND""",UTTARAKHAND,90,3.6,Sample description for Jaypee Residency Manor,https://example.com/photo142
143,ITC Sonar,"""1, JBS Haldane AvenueOpp. Science City, Kolkata-700046, WEST BENGAL""",WEST BENGAL,239,3.1,Sample description for ITC Sonar,https://example.com/photo143
